year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population,policy,nonstop_arrests,crimerate,nonstop_arrestrate,stoprate,stop_arrestrate,arrestrate,normal_year,log_crimerate,log_nonstop_arrestrate,log_stoprate,log_stop_arrestrate,log_arrestrate,log_nonstop_arrests,log_arrests,log_population,log_stops,log_stop_arrests,log_crimes
2014,72,195,13,3589,5298,40.6517336727711,-74.00061301277108,126230,0,3576,41.97100530777153,28.32924027568724,1.544799176107106,0.10298661174047374,28.432226887427714,9,3.7369790300672445,3.343894496528635,0.4348939187989765,-2.2731562823032334,3.347523251382837,8.182000136293405,8.185628891147607,11.745860918746907,5.272999558563747,2.5649493574615367,8.575084669832014
2015,72,149,20,3143,5290,40.6517336727711,-74.00061301277108,126230,0,3123,41.907628931315855,24.740552958884575,1.1803850114869683,0.15844094113919038,24.898993900023765,10,3.7354678850875747,3.2084437175183083,0.1658406661806889,-1.842373366210779,3.2148273970327974,8.046549357283078,8.052933036797567,11.745860918746907,5.003946305945459,2.995732273553991,8.573573524852344
2016,72,124,45,3260,5152,40.6517336727711,-74.00061301277108,126230,0,3215,40.81438643745544,25.469381288124854,0.9823338350629803,0.35649211756317833,25.825873405688032,11,3.709034628019419,3.2374769969069495,-0.017824074159733357,-1.0314431499944505,3.251376834595983,8.07558263667172,8.089482474360754,11.745860918746907,4.820281565605037,3.8066624897703196,8.54714026778419
2017,72,150,60,3748,5260,40.6517336727711,-74.00061301277108,126230,0,3688,41.66996751960707,29.216509546066703,1.1883070585439277,0.4753228234175711,29.691832369484274,12,3.7297806659669854,3.374733944911714,0.17252965433148543,-0.7437610775426696,3.3908720035935427,8.212839584676484,8.228977643358313,11.745860918746907,5.0106352940962555,4.0943445622221,8.567886305731756
2018,72,193,41,3286,5232,40.6517336727711,-74.00061301277108,126230,0,3245,41.4481502020122,25.70704269983364,1.528955081993187,0.32480392933534025,26.031846629168978,13,3.7244432533722645,3.2467649893734203,0.42458454914011523,-1.1245335730604624,3.259320658832443,8.08487062913819,8.097426298597213,11.745860918746907,5.262690188904886,3.713572066704308,8.562548893137034
2006,73,26294,221,9081,9768,40.66845446503069,-73.91107022914112,86468,1,8860,112.96664662071518,102.46565203312208,304.08937410371465,2.555858814821668,105.02151084794374,1,4.727092612494734,4.62952764030332,5.717321651960743,0.9383882982219465,4.654165194394022,9.089302043599126,9.113939597689829,11.367529682277944,10.17709605525655,5.3981627015177525,9.18686701579054
2007,73,21760,429,10965,10118,40.66845446503069,-73.91107022914112,86468,1,10536,117.01438682518388,121.84854512652079,251.6537909978258,4.961372993477355,126.80991811999814,2,4.762296891556075,4.802778840127311,5.528054297674073,1.6016825156322105,4.842689257556182,9.262553243423117,9.302463660851988,11.367529682277944,9.987828700969878,6.061456918928017,9.222071294851881
2008,73,22960,566,11292,10501,40.66845446503069,-73.91107022914112,86468,1,10726,121.44377110607392,124.04588980894667,265.53175741314703,6.545774159226535,130.5916639681732,3,4.799451366410187,4.820651576247064,5.581734447137697,1.8788196749073767,4.872075386077574,9.280425979542871,9.33184978937338,11.367529682277944,10.041508850433503,6.338594078203183,9.259225769705994
2009,73,26710,597,12552,11329,40.66845446503069,-73.91107022914112,86468,1,11955,131.0195679326456,138.2592404126382,308.9004024610261,6.9042882916223345,145.16352870426053,4,4.875346685577682,4.929130476596619,5.7330189028082,1.9321427100967958,4.9778608911170625,9.388904879892426,9.437635294412868,11.367529682277944,10.192793306104006,6.391917113392602,9.335121088873489
2010,73,19539,720,13109,11228,40.66845446503069,-73.91107022914112,86468,1,12389,129.85150575935606,143.2784382661794,225.96798815746865,8.326779849192764,151.60521811537217,5,4.866391534185967,4.964789857819932,5.420393343918705,2.119476808714295,5.021279892902003,9.424564261115739,9.48105429619781,11.367529682277944,9.88016774721451,6.579251212010101,9.326165937481774
2011,73,25167,1147,14326,11638,40.66845446503069,-73.91107022914112,86468,1,13179,134.59314428459084,152.4147661562659,291.05565064532544,13.265022898644585,165.6797890549105,6,4.9022564819208085,5.026605529348083,5.673514488218598,2.585130713833564,5.1100569438785906,9.486379932643889,9.569831347174397,11.367529682277944,10.133288891514404,7.044905117129371,9.362030885216615
2012,73,22148,513,12752,11807,40.66845446503069,-73.91107022914112,86468,1,12239,136.54762455474858,141.54369246426424,256.14100013877965,5.932830642549845,147.47652310681408,7,4.916673451611303,4.952608450086532,5.545728074647052,1.7805014418749632,4.99366899773419,9.412382853382338,9.453443401029997,11.367529682277944,10.005502477942859,6.240275845170769,9.37644785490711
