year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population
2015,45,262,28,2861,6411,40.838127076098594,-73.82073679946411,120833
2016,45,78,22,2757,6311,40.838127076098594,-73.82073679946411,120833
2017,45,115,16,2542,6131,40.838127076098594,-73.82073679946411,120833
2018,45,103,14,2617,6056,40.838127076098594,-73.82073679946411,120833
2006,46,5199,407,12296,12049,40.85211918690475,-73.90900172222223,128200
2007,46,6068,509,13123,13023,40.85211918690475,-73.90900172222223,128200
2008,46,7697,389,13652,12763,40.85211918690475,-73.90900172222223,128200
2009,46,8999,520,13078,12320,40.85211918690475,-73.90900172222223,128200
2010,46,11927,482,10593,11100,40.85211918690475,-73.90900172222223,128200
2011,46,13718,313,9686,10444,40.85211918690475,-73.90900172222223,128200
2012,46,5628,256,8811,9798,40.85211918690475,-73.90900172222223,128200
2013,46,1184,72,7853,9363,40.85211918690475,-73.90900172222223,128200
2014,46,348,45,8090,9847,40.85211918690475,-73.90900172222223,128200
2015,46,189,27,6383,9457,40.85211918690475,-73.90900172222223,128200
2016,46,129,24,5663,9409,40.85211918690475,-73.90900172222223,128200
2017,46,279,95,5432,8716,40.85211918690475,-73.90900172222223,128200
2018,46,269,80,5743,9185,40.85211918690475,-73.90900172222223,128200
2006,47,7140,349,5797,8746,40.88612937680959,-73.84921111836474,152374
2007,47,6961,474,7145,9175,40.88612937680959,-73.84921111836474,152374
2008,47,7210,574,7650,9306,40.88612937680959,-73.84921111836474,152374
2009,47,6685,458,7737,9208,40.88612937680959,-73.84921111836474,152374
2010,47,9689,1167,7744,9235,40.88612937680959,-73.84921111836474,152374
2011,47,10936,919,6880,8664,40.88612937680959,-73.84921111836474,152374
2012,47,8948,629,6601,9171,40.88612937680959,-73.84921111836474,152374
2013,47,2516,240,6659,8521,40.88612937680959,-73.84921111836474,152374
2014,47,362,168,6590,8878,40.88612937680959,-73.84921111836474,152374
2015,47,545,213,5740,9175,40.88612937680959,-73.84921111836474,152374
2016,47,201,65,5564,10355,40.88612937680959,-73.84921111836474,152374
2017,47,169,52,5570,10198,40.88612937680959,-73.84921111836474,152374
2018,47,104,22,5182,9651,40.88612937680959,-73.84921111836474,152374
2006,48,4867,171,5467,7525,40.84863588881989,-73.88787429161495,83266
2007,48,3317,193,7846,9194,40.84863588881989,-73.88787429161495,83266
2008,48,4109,223,7049,8266,40.84863588881989,-73.88787429161495,83266
2009,48,3533,268,7417,8306,40.84863588881989,-73.88787429161495,83266
2010,48,3643,502,7756,8347,40.84863588881989,-73.88787429161495,83266
2011,48,5265,353,6731,7412,40.84863588881989,-73.88787429161495,83266
2012,48,5430,193,6729,7864,40.84863588881989,-73.88787429161495,83266
2013,48,950,62,7175,8312,40.84863588881989,-73.88787429161495,83266
2014,48,135,27,6724,8389,40.84863588881989,-73.88787429161495,83266
2015,48,100,21,6133,8206,40.84863588881989,-73.88787429161495,83266
2016,48,90,24,5718,7744,40.84863588881989,-73.88787429161495,83266
2017,48,219,45,5009,7962,40.84863588881989,-73.88787429161495,83266
2018,48,207,47,4604,7611,40.84863588881989,-73.88787429161495,83266
2006,49,4184,138,2711,6889,40.85667745818817,-73.8552993576655,114712
2007,49,4750,160,2965,7179,40.85667745818817,-73.8552993576655,114712
